0.000000000000000000e+00,6.969641447067260742e-01
1.000000000000000000e+00,1.121933937072753906e+01
2.000000000000000000e+00,6.370540261268615723e-01
3.000000000000000000e+00,4.120766520500183105e-01
4.000000000000000000e+00,3.796694874763488770e-01
5.000000000000000000e+00,3.515107333660125732e-01
6.000000000000000000e+00,3.352812826633453369e-01
7.000000000000000000e+00,3.132288455963134766e-01
8.000000000000000000e+00,2.879513800144195557e-01
9.000000000000000000e+00,4.210731387138366699e-01
1.000000000000000000e+01,2.743412554264068604e-01
1.100000000000000000e+01,2.678324580192565918e-01
1.200000000000000000e+01,2.578087449073791504e-01
1.300000000000000000e+01,2.433030009269714355e-01
1.400000000000000000e+01,2.315445542335510254e-01
1.500000000000000000e+01,2.112835645675659180e-01
1.600000000000000000e+01,2.019213587045669556e-01
1.700000000000000000e+01,1.867872327566146851e-01
1.800000000000000000e+01,1.777999997138977051e-01
1.900000000000000000e+01,1.654587984085083008e-01
2.000000000000000000e+01,1.499201655387878418e-01
2.100000000000000000e+01,1.370869874954223633e-01
2.200000000000000000e+01,1.289544254541397095e-01
2.300000000000000000e+01,1.191993877291679382e-01
2.400000000000000000e+01,1.087995246052742004e-01
2.500000000000000000e+01,9.893720597028732300e-02
2.600000000000000000e+01,9.405172616243362427e-02
2.700000000000000000e+01,8.951631188392639160e-02
2.800000000000000000e+01,8.267584443092346191e-02
2.900000000000000000e+01,7.356236129999160767e-02
3.000000000000000000e+01,6.905970722436904907e-02
3.100000000000000000e+01,6.299211084842681885e-02
3.200000000000000000e+01,6.096288934350013733e-02
3.300000000000000000e+01,5.715026706457138062e-02
3.400000000000000000e+01,5.324589833617210388e-02
3.500000000000000000e+01,4.927218705415725708e-02
3.600000000000000000e+01,4.560579359531402588e-02
3.700000000000000000e+01,4.387028142809867859e-02
3.800000000000000000e+01,4.115885123610496521e-02
3.900000000000000000e+01,3.857857361435890198e-02
4.000000000000000000e+01,3.505501896142959595e-02
4.100000000000000000e+01,3.257435932755470276e-02
4.200000000000000000e+01,3.109591081738471985e-02
4.300000000000000000e+01,2.911174856126308441e-02
4.400000000000000000e+01,2.792038023471832275e-02
4.500000000000000000e+01,2.644339948892593384e-02
4.600000000000000000e+01,2.480440586805343628e-02
4.700000000000000000e+01,2.348045632243156433e-02
4.800000000000000000e+01,2.237041294574737549e-02
4.900000000000000000e+01,2.139969728887081146e-02
5.000000000000000000e+01,2.036981284618377686e-02
5.100000000000000000e+01,1.931696571409702301e-02
5.200000000000000000e+01,1.828832738101482391e-02
5.300000000000000000e+01,1.703622192144393921e-02
5.400000000000000000e+01,1.586789265275001526e-02
5.500000000000000000e+01,1.524947769939899445e-02
5.600000000000000000e+01,1.479585841298103333e-02
5.700000000000000000e+01,1.432670932263135910e-02
5.800000000000000000e+01,1.400263328105211258e-02
5.900000000000000000e+01,1.359284017235040665e-02
6.000000000000000000e+01,1.283133681863546371e-02
6.100000000000000000e+01,1.221454329788684845e-02
6.200000000000000000e+01,1.166994404047727585e-02
6.300000000000000000e+01,1.117116492241621017e-02
6.400000000000000000e+01,1.058749575167894363e-02
6.500000000000000000e+01,1.021741889417171478e-02
6.600000000000000000e+01,9.954027831554412842e-03
6.700000000000000000e+01,9.748736396431922913e-03
6.800000000000000000e+01,9.517234750092029572e-03
6.900000000000000000e+01,9.228393435478210449e-03
7.000000000000000000e+01,8.881697431206703186e-03
7.100000000000000000e+01,8.524937555193901062e-03
7.200000000000000000e+01,8.305482566356658936e-03
7.300000000000000000e+01,8.118340745568275452e-03
7.400000000000000000e+01,7.934515364468097687e-03
7.500000000000000000e+01,7.731327787041664124e-03
7.600000000000000000e+01,7.464875932782888412e-03
7.700000000000000000e+01,7.300319615751504898e-03
7.800000000000000000e+01,7.142259273678064346e-03
7.900000000000000000e+01,7.008370943367481232e-03
8.000000000000000000e+01,6.861232221126556396e-03
8.100000000000000000e+01,6.679515819996595383e-03
8.200000000000000000e+01,6.342824548482894897e-03
8.300000000000000000e+01,6.131086032837629318e-03
8.400000000000000000e+01,5.935955792665481567e-03
8.500000000000000000e+01,5.736243445426225662e-03
8.600000000000000000e+01,5.549761466681957245e-03
8.700000000000000000e+01,5.356779322028160095e-03
8.800000000000000000e+01,5.225537344813346863e-03
8.900000000000000000e+01,5.083017516881227493e-03
9.000000000000000000e+01,4.971640650182962418e-03
9.100000000000000000e+01,4.897312261164188385e-03
9.200000000000000000e+01,4.822643473744392395e-03
9.300000000000000000e+01,4.737982992082834244e-03
9.400000000000000000e+01,4.633132368326187134e-03
9.500000000000000000e+01,4.517066758126020432e-03
9.600000000000000000e+01,4.408556036651134491e-03
9.700000000000000000e+01,4.291655030101537704e-03
9.800000000000000000e+01,4.205960780382156372e-03
9.900000000000000000e+01,4.093389492481946945e-03
1.000000000000000000e+02,4.001439083367586136e-03
1.010000000000000000e+02,3.929174039512872696e-03
1.020000000000000000e+02,3.826277563348412514e-03
1.030000000000000000e+02,3.729583695530891418e-03
1.040000000000000000e+02,3.645310644060373306e-03
1.050000000000000000e+02,3.575884737074375153e-03
1.060000000000000000e+02,3.481131047010421753e-03
1.070000000000000000e+02,3.441019449383020401e-03
1.080000000000000000e+02,3.339793067425489426e-03
1.090000000000000000e+02,3.279498312622308731e-03
1.100000000000000000e+02,3.230175469070672989e-03
1.110000000000000000e+02,3.166978247463703156e-03
1.120000000000000000e+02,3.114014165475964546e-03
1.130000000000000000e+02,3.078355686739087105e-03
1.140000000000000000e+02,3.044396638870239258e-03
1.150000000000000000e+02,3.011117456480860710e-03
1.160000000000000000e+02,2.967252628877758980e-03
1.170000000000000000e+02,2.923752646893262863e-03
1.180000000000000000e+02,2.889128867536783218e-03
1.190000000000000000e+02,2.856553765013813972e-03
1.200000000000000000e+02,2.820919035002589226e-03
1.210000000000000000e+02,2.768436446785926819e-03
1.220000000000000000e+02,2.716510090976953506e-03
1.230000000000000000e+02,2.673472743481397629e-03
1.240000000000000000e+02,2.644767286255955696e-03
1.250000000000000000e+02,2.600089181214570999e-03
1.260000000000000000e+02,2.547238254919648170e-03
1.270000000000000000e+02,2.500772941857576370e-03
1.280000000000000000e+02,2.464955439791083336e-03
1.290000000000000000e+02,2.435575472190976143e-03
1.300000000000000000e+02,2.392021939158439636e-03
1.310000000000000000e+02,2.346385968849062920e-03
1.320000000000000000e+02,2.307104179635643959e-03
1.330000000000000000e+02,2.263426547870039940e-03
1.340000000000000000e+02,2.219358924776315689e-03
1.350000000000000000e+02,2.166392980143427849e-03
1.360000000000000000e+02,2.121702535077929497e-03
1.370000000000000000e+02,2.078952267765998840e-03
1.380000000000000000e+02,2.044573891907930374e-03
1.390000000000000000e+02,2.004262991249561310e-03
1.400000000000000000e+02,1.967734890058636665e-03
1.410000000000000000e+02,1.951606711372733116e-03
1.420000000000000000e+02,1.929738442413508892e-03
1.430000000000000000e+02,1.898404327221214771e-03
1.440000000000000000e+02,1.867220271378755569e-03
1.450000000000000000e+02,1.845193444751203060e-03
1.460000000000000000e+02,1.807669876143336296e-03
1.470000000000000000e+02,1.764538581483066082e-03
1.480000000000000000e+02,1.737747807055711746e-03
1.490000000000000000e+02,1.701579429209232330e-03
1.500000000000000000e+02,1.686013420112431049e-03
1.510000000000000000e+02,1.670536235906183720e-03
1.520000000000000000e+02,1.644209260120987892e-03
1.530000000000000000e+02,1.614069333299994469e-03
1.540000000000000000e+02,1.587626291438937187e-03
1.550000000000000000e+02,1.557405688799917698e-03
1.560000000000000000e+02,1.596136251464486122e-03
1.570000000000000000e+02,1.540786004625260830e-03
1.580000000000000000e+02,1.521701575256884098e-03
1.590000000000000000e+02,1.491967239417135715e-03
1.600000000000000000e+02,1.469078240916132927e-03
1.610000000000000000e+02,1.446279347874224186e-03
1.620000000000000000e+02,1.410307362675666809e-03
1.630000000000000000e+02,1.393432612530887127e-03
1.640000000000000000e+02,1.375504885800182819e-03
1.650000000000000000e+02,1.359950634650886059e-03
1.660000000000000000e+02,1.333566382527351379e-03
1.670000000000000000e+02,1.316586276516318321e-03
1.680000000000000000e+02,1.289022620767354965e-03
1.690000000000000000e+02,1.276038121432065964e-03
1.700000000000000000e+02,1.257871859706938267e-03
1.710000000000000000e+02,1.259761629626154900e-03
1.720000000000000000e+02,1.245238352566957474e-03
1.730000000000000000e+02,1.228653709404170513e-03
1.740000000000000000e+02,1.214204239659011364e-03
1.750000000000000000e+02,1.197891077026724815e-03
1.760000000000000000e+02,1.177306985482573509e-03
1.770000000000000000e+02,1.158258877694606781e-03
1.780000000000000000e+02,1.143006840720772743e-03
1.790000000000000000e+02,1.125388196669518948e-03
1.800000000000000000e+02,1.116628875024616718e-03
1.810000000000000000e+02,1.104991766624152660e-03
1.820000000000000000e+02,1.089057186618447304e-03
1.830000000000000000e+02,1.069745980203151703e-03
1.840000000000000000e+02,1.058857771568000317e-03
1.850000000000000000e+02,1.051286468282341957e-03
1.860000000000000000e+02,1.038701040670275688e-03
1.870000000000000000e+02,1.007771934382617474e-03
1.880000000000000000e+02,9.907933417707681656e-04
1.890000000000000000e+02,9.694802574813365936e-04
1.900000000000000000e+02,9.542929474264383316e-04
1.910000000000000000e+02,9.444582974538207054e-04
1.920000000000000000e+02,9.250177536159753799e-04
1.930000000000000000e+02,9.271947783417999744e-04
1.940000000000000000e+02,9.187172981910407543e-04
1.950000000000000000e+02,9.110006503760814667e-04
1.960000000000000000e+02,9.070415399037301540e-04
1.970000000000000000e+02,8.980602142401039600e-04
1.980000000000000000e+02,8.876079809851944447e-04
1.990000000000000000e+02,8.797954651527106762e-04
2.000000000000000000e+02,8.715850999578833580e-04
2.010000000000000000e+02,8.667901856824755669e-04
2.020000000000000000e+02,8.628009818494319916e-04
2.030000000000000000e+02,8.572232909500598907e-04
2.040000000000000000e+02,8.494262583553791046e-04
2.050000000000000000e+02,8.450153400190174580e-04
2.060000000000000000e+02,8.398439385928213596e-04
2.070000000000000000e+02,8.310121484100818634e-04
